"NOMBRE","CODIGO","STOCK","PRECIO","MIN","PROVEEDOR","MARCA","CATEGORIA","ESTADO"
"9 de Oro agridulce x200g","8975560313752","133","950.00","0","","","Arcor","DISPONIBLE"
"9 de oro azucarada x200g","1069025437135","23","950.00","0","","","Arcor","DISPONIBLE"
"9 de Oro clasicas x200g","9027311456223","221","950.00","0","","","Arcor","DISPONIBLE"
"9 de Oro Cookies blancos x120g","2690742773744","0","700.00","0","","","Arcor","DISPONIBLE"
"9 de Oro Cookies chips x120g","5716047034468","0","700.00","0","","","Arcor","DISPONIBLE"
"9 de Oro Cookies colores x120g","3818470589465","0","700.00","0","","","Arcor","DISPONIBLE"
"9 de oro salvado x200g","7256424534556","0","650.00","0","","","Arcor","DISPONIBLE"
"Above Repelente x150ml","4419568357822","38","4570.00","0","","","Arcor","DISPONIBLE"
"Aceite Alsamar x900","1032025003665","0","1100.00","0","","","Arcor","DISPONIBLE"
"Aceite Cañuelas x1,5l","1506547995872","0","2550.00","0","","","Arcor","DISPONIBLE"
"Aceite Legitimo x900","5798563767833","0","1590.00","0","","","Arcor","DISPONIBLE"
"Actron 400mg tableta x10u","4139863714008","12","2370.00","0","","","Arcor","DISPONIBLE"
"Actron 600mg tableta x10u","3709469858858","9","6800.00","0","","","Arcor","DISPONIBLE"
"Actron Plus 400 tableta x8u","2894251549490","0","3280.00","0","","","Arcor","DISPONIBLE"
"Afeitadora Geeleete 3 filos x24u","5661646311373","13","10780.00","0","","","Arcor","DISPONIBLE"
"Afeitadoras Bic 3","1117973651721","14","1000.00","0","","","Productos","DISPONIBLE"
"Alfajor Aguila Minitorta Brownie x72g","5214503272409","0","1280.00","0","","","Arcor","DISPONIBLE"
"Alfajor arroz Lulemuu x12u","9573129759444","10","7150.00","0","","","Productos","DISPONIBLE"
"Alfajor Barrigon Blanco x10u","9625592859512","1","13100.00","0","","","Arcor","DISPONIBLE"
"Alfajor Barrigon Negro x10u","4341694994592","0","13100.00","0","","","Arcor","DISPONIBLE"
"Alfajor Bon o Bon simple x40g","1135988679529","21","630.00","0","","","Arcor","DISPONIBLE"
"Alfajor Capitan Espacio SIMPLE","9781351844097","116","1200.00","0","","","Arcor","DISPONIBLE"
"Alfajor Capitan Espacio TRIPLE","8753675431272","0","1890.00","0","","","Arcor","DISPONIBLE"
"Alfajor Escolar x60u surtido","5424431491871","0","9500.00","0","","","Arcor","DISPONIBLE"
"Alfajor Fantoche cuadruple x12","8404793149871","0","13200.00","0","","","Arcor","DISPONIBLE"
"Alfajor Fantoche mini blan x6u","2406852507102","0","1490.00","0","","","Arcor","DISPONIBLE"
"Alfajor Fantoche mini negr x6u","4577630806948","43","1490.00","0","","","Arcor","DISPONIBLE"
"Alfajor Fantoche Mini x18u","5291250499375","0","1081.21","0","","","Productos","DISPONIBLE"
"Alfajor Fantoche triple x24u","4757218091107","27","17350.00","0","","","Productos","DISPONIBLE"
"Alfajor Fulbito x40u","6565191548073","0","6690.00","0","","","Arcor","DISPONIBLE"
