"NOMBRE","CODIGO","STOCK","PRECIO","MIN","PROVEEDOR","MARCA"
"9 de Oro agridulce x200g","8975560313752","187","950.00","0","",""
"9 de oro azucarada x200g","1069025437135","51","950.00","0","",""
"9 de Oro clasicas x200g","9027311456223","279","950.00","0","",""
"9 de Oro Cookies blancos x120g","2690742773744","0","700.00","0","",""
"9 de Oro Cookies chips x120g","5716047034468","0","700.00","0","",""
"9 de Oro Cookies colores x120g","3818470589465","0","700.00","0","",""
"9 de oro salvado x200g","7256424534556","0","650.00","0","",""
"Above Repelente x150ml","4419568357822","38","4570.00","0","",""
"Aceite Alsamar x900","1032025003665","0","1100.00","0","",""
"Aceite Cañuelas x1,5l","1506547995872","0","2550.00","0","",""
"Aceite Legitimo x900","5798563767833","0","1590.00","0","",""
"Actron 400mg tableta x10u","4139863714008","17","2370.00","0","",""
"Actron 600mg tableta x10u","3709469858858","16","6800.00","0","",""
"Actron Plus 400 tableta x8u","2894251549490","0","3280.00","0","",""
"Afeitadora Geeleete 3 filos x24u","5661646311373","13","10780.00","0","",""
"Afeitadoras Bic 3","1117973651721","14","1000.00","0","",""
"Alfajor Aguila Minitorta Brownie x72g","5214503272409","0","1280.00","0","",""
"Alfajor arroz Lulemuu x12u","9573129759444","11","7150.00","0","",""
"Alfajor Barrigon Blanco x10u","9625592859512","1","13100.00","0","",""
"Alfajor Barrigon Negro x10u","4341694994592","0","13100.00","0","",""
"Alfajor Bon o Bon simple x40g","1135988679529","21","630.00","0","",""
"Alfajor Capitan Espacio SIMPLE","9781351844097","116","1200.00","0","",""
"Alfajor Capitan Espacio TRIPLE","8753675431272","0","1890.00","0","",""
"Alfajor Escolar x60u surtido","5424431491871","0","9500.00","0","",""
"Alfajor Fantoche cuadruple x12","8404793149871","0","13200.00","0","",""
"Alfajor Fantoche mini blan x6u","2406852507102","0","1490.00","0","",""
"Alfajor Fantoche mini negr x6u","4577630806948","43","1490.00","0","",""
"Alfajor Fantoche Mini x18u","5291250499375","0","1081.21","0","",""
"Alfajor Fantoche triple x24u","4757218091107","17","16370.00","0","",""
"Alfajor Fulbito x40u","6565191548073","0","6690.00","0","",""
"Alfajor Guaymallen Oro x24u","4597223899122","0","6846.53","0","",""
"Alfajor Guaymallen simple x40u","5335965510175","0","10800.00","0","",""
"Alfajor Guaymallen triple x24u","4041615223711","8","10800.00","0","",""
"Alfajor Gula blanco unidad","9372865451695","1","1080.00","0","",""
"Alfajor Gula negro unidad","3832187500065","0","1080.00","0","",""
"Alfajor Guliver triple x24u","4985658399711","34","7300.00","0","",""
"Alfajor Jorgelin triple","3235405106749","0","8900.48","0","",""
"Alfajor Jorgito simple","7846072295986","0","7120.39","0","",""
"Alfajor Juana la loca blanco x10u","5001701660090","1","17400.00","0","",""
"Alfajor Juana la loca chocolate con merengue x10u","8769512078375","0","17400.00","0","",""
"Alfajor Juana La Loca chocolate x10u","6909825155155","0","16800.00","0","",""
"Alfajor Juana La Loca Clasico Blanco x80g x24u","9983097481739","0","28500.00","0","",""
"Alfajor Juana La Loca Clasico Negro x80g x24u","8163244098327","1","28500.00","0","",""
"Alfajor La Recova 60gx24u","1629253578355","0","13820.00","0","",""
"Alfajor Maradona x 24 u","9608672591129","0","14500.00","0","",""
"Alfajor Marley x20u","1342317469758","0","20600.00","0","",""
"Alfajor Milka 3 Dulce de Leche x70g","3773848352080","0","1040.00","0","",""
"Alfajor Milka 3 Mousse blanco x55g","2659726790375","46","1160.00","0","",""
"Alfajor Milka 3 Mousse x55g","4479450541388","0","1200.00","0","",""
"Alfajor Milka 3 torta Oreo x61g","2015248152253","0","1160.00","0","",""
"Alfajor Mogy simple x40u","8886925452481","0","9900.00","0","",""
"Alfajor OREO triple x56g","3048676381746","32","1160.00","0","",""
"Alfajor Pepitos x57g","5469876219262","0","1040.00","0","",""
"Alfajor Rasta x18u","2808628939528","0","18500.00","0","",""
"Alfajor Riquito simple x50u","1261159412819","0","6800.00","0","",""
"Alfajor Salchichon Juana La Loca Chocolate x92g x18u","6152715472362","2","30600.00","0","",""
"Alfajor Shot Pasta de Mani simple x44g","4760567190141","78","715.00","0","",""
"Alfajor Sin Culpa x8u","9175064764753","0","8800.00","0","",""
"Alfajor Terrabusi Choco clasico x50g","5687166835099","0","870.00","0","",""
"Alfajor Terrabusi Glaseado x38g","5957587908645","0","870.00","0","",""
"Alfajor Terrabusi Triple clasico x70g","2168736811833","2","1160.00","0","",""
"Alfajor Terrabusi triple torta 70g","4542118904661","0","1200.00","0","",""
"Alfajor triple Fantasio","3225571102304","0","7000.00","0","",""
"Alfajor Trishot x60g","9887560822148","46","1160.00","0","",""
"Alikal sobre","4310407245290","114","720.00","0","",""
"Alka bolsa chico x200g (100u)","1902812955047","0","1830.00","0","",""
"Alka caramelo bolsa x800g","5117146991490","3","8400.00","0","",""
"Almohadita limon x1kg LR","2521083128904","11","6900.00","0","",""
"Almohaditas  Frutilla x1kg LR","7535157052119","13","6350.00","0","",""
"Almohaditas chocolate x1kg LR","1474573906497","0","6820.00","0","",""
"Amoxicilina tableta x500mg x8u","9913901125692","0","1640.00","0","",""
"Anillos DDLN x150g","7813621816656","0","204.20","0","",""
"Anillos DDLN x300g","2129582459270","0","436.33","0","",""
"Anillos de cebolla Juli Croc x70g","2381051372861","86","875.00","0","",""
"Animacion Solitas x400g","5381896899472","0","852.01","0","",""
"Arañas paleta c/ juguete x10u","3562046584820","0","2632.12","0","",""
"Arcor Cereal Mix x20u","5483709901216","0","7450.00","0","",""
"Arcor menta con chocolate car","3201445816220","0","5800.00","0","",""
"Aritos frutales x1kg Los Rusit","2152214180622","22","4800.00","0","",""
"Aros de cebolla Los Rusitos","1533893996567","0","2430.00","0","",""
"Arroz Dominante x1kg","3354014248061","0","1570.00","0","",""
"Arroz Dominante x500g","1326013587157","0","840.00","0","",""
"Arroz Don Marcos x1kg","4361258304272","0","1680.00","0","",""
"Arroz Don Marcos x500g","9739612364288","0","895.00","0","",""
"Aspirinetas TABLETA x14 compr.","5725059108029","6","700.00","0","",""
"Auriculares Inalambricos","1476118200524","0","9500.00","0","",""
"Azucar Dolce x1kg","4997757329067","0","740.00","0","",""
"Azuquita c/ billete x50u Mandu","3482116872746","0","1300.00","0","",""
"Baby doll blister x18x4u","4490842836593","11","10400.00","0","",""
"Baggio Fresh Limone x1500ml","5201741999967","1","5900.00","0","",""
"Baggio Fresh manzana 6x1500ml","6751851817934","0","5165.00","0","",""
"Baggio Fresh manzana 6x600ml","8718402426469","0","3300.00","0","",""
"Baggio Fresh Naranja 6x1500cc","5227431063540","23","5900.00","0","",""
"Baggio Fresh naranja 6x600ml","3506362685907","0","2280.00","0","",""
"Baggio Fresh Pomelo 6x1500cc","3001884001183","127","5900.00","0","",""
"Baggio Fresh pomelo 6x600ml","6853330869926","7","2280.00","0","",""
"Baggio Pronto Durazno x1 litro","9140998905532","0","1190.00","0","",""
"Baggio Pronto Multifruta 18x200cc","8666549833401","146","8100.00","0","",""
"Baggio Pronto Multifruta x1 LITRO","7230036718382","210","1340.00","0","",""
"Baggio Pronto naranja 18x200cc","5125677990440","0","6230.00","0","",""
